State,2018 Employment,2018 Share,2018 Growth,2019 Employment,2019 Share,2019 Growth,2020 Employment,2020 Share,2020 Growth,2021 Employment,2021 Share,2021 Growth
Alabama,43610.0,0.019968506446379684,-0.02070421270097907,43828,0.0195,0.0049988534739738594,39486,0.0208,-0.09906908825408414,41984,0.021,0.052283322472304376
Alaska,5782.666666666628,0.016136338479883883,-0.05103659537224473,5628,0.0163,-0.026746599031582125,4848,0.016,-0.13859275053304904,5006,0.017,0.03259075907590759
Arizona,62054.0,0.018374986045682513,-0.021469514550859017,62106,0.0172,0.000837979824024237,56504,0.0202,-0.09020062473835057,59383,0.019,0.05095214498088631
Arkansas,20128.333333333314,0.01489848747722727,-0.010130649312328911,20377,0.0149,0.01235406143910009,18807,0.0159,-0.077047651764244,19965,0.016,0.0648
California,512934.0,0.026631102733896857,0.7040996677740864,536919,0.0275,0.046760401923054425,484980,0.0301,-0.09673526174339146,505083,0.028999999999999998,0.041451193863664484
Colorado,61834.666666666744,0.020296613011456806,-0.009935126797622816,62420,0.0196,0.009466103156803978,58182,0.022400000000000003,-0.06789490547901314,61179,0.022000000000000002,0.05151077652882335
Connecticut,42267.33333333337,0.022386647316999127,-0.011656501490675958,42455,0.022,0.004439993060045449,39898,0.0256,-0.06022847721116476,41458,0.025,0.04994175150686319
Delaware,14405.0,0.030000978858734022,-0.054945054945054944,13943,0.0285,-0.03207219715376605,11979,0.0279,-0.14085921250806857,12268,0.027000000000000003,0.02902197617849354
District of Col.,15541.333333333256,0.038424705740794575,-0.03534888532560923,15383,0.0372,-0.010187886067256553,13580,0.019,-0.11720730676721056,14244,0.019,0.04889543446244477
Florida,158652.0,0.01561637800273128,0.4555229357798165,166032,0.0159,0.04651690492398457,149624,0.018000000000000002,-0.09882432302206803,158467,0.017,0.059101481045821525
Georgia,85304.33333333395,0.016732678601645557,-0.047962188273677105,83806,0.0163,-0.01756456295694955,71111,0.0166,-0.15148080089731045,75211,0.016,0.05765634008803139
Hawaii,14170.666666666744,0.020844396131783845,-0.035856031569636716,13927,0.0208,-0.017195144900268838,12550,0.024700000000000003,-0.09887269332950384,12873,0.021,0.026145874850538063
Idaho,12817.0,0.015119396875615622,0.008974258049279697,13181,0.0148,0.028399781540142,12545,0.016399999999999998,-0.04825127076853046,13409,0.017,0.06844621513944223
Illinois,123247.0,0.019020414764707498,0.46722619047619046,125364,0.0195,0.017176888686945727,115133,0.0207,-0.08161035065888134,120775,0.021,0.04900419514821989
Indiana,85250.66666666663,0.025399806714693017,-0.003954939780151306,86892,0.0256,0.01925302636929572,80614,0.0274,-0.07225060995258482,86215,0.027999999999999997,0.06947924678095616
Iowa,32131.666666666744,0.019144578258217797,-0.025239910608649867,32057,0.0183,-0.0023237719798768846,28953,0.0196,-0.09682752596936707,30393,0.02,0.049735778675784895
Kansas,24855.333333333256,0.016826842792706135,-0.02141788498385791,24909,0.0167,0.002159161011724289,22572,0.017,-0.09382151029748284,23821,0.017,0.05533404217614744
Kentucky,38446.66666666651,0.018707511128974053,-0.03548566482834184,38266,0.0184,-0.004699150338126725,33150,0.0183,-0.13369570898447708,35437,0.018000000000000002,0.0689894419306184
Louisiana,31547.0,0.014967429105522108,-0.04560649835877112,31109,0.0148,-0.01388404602656354,26393,0.0152,-0.15159600115722138,28094,0.015,0.06444890690713447
Maine,12709.333333333314,0.01818510479281102,-0.011856785580075435,12798,0.0184,0.006976500209821093,11922,0.02,-0.06844819503047352,12493,0.02,0.04290842307371233
Maryland,85329.33333333302,0.026674827879377763,-0.02582447274083442,84549,0.0258,-0.009144959919992646,77842,0.031200000000000002,-0.07932678091993992,80025,0.03,0.028043986536831017
Massachusetts,116491.0,0.03107191450055574,0.4561375,122477,0.0319,0.05138594397850478,108909,0.0329,-0.11077998318051553,113409,0.032,0.04131889926452359
Michigan,126081.0,0.025734697539077832,-0.021391370491396104,125365,0.0253,-0.0056788889682029805,113456,0.0281,-0.09499461572209149,119853,0.027999999999999997,0.05638309124241997
Minnesota,62229.0,0.020316747857696247,-0.030187326621575288,61805,0.0198,-0.0068135435247232,55329,0.020499999999999997,-0.1047811665722838,57931,0.021,0.047027779283919824
Mississippi,20884.666666666628,0.016361536314154837,-0.022627116661076876,20985,0.0164,0.0048041625434947005,18750,0.0172,-0.10650464617583988,20018,0.017,0.06439091827511033
Missouri,56240.0,0.018407887897795634,-0.3535632183908046,56486,0.0182,0.004374110953058321,51570,0.0192,-0.08703041461601105,54397,0.019,0.04308724832214765
Montana,10389.333333333314,0.01974895609583005,-0.022487062882233066,10376,0.0193,-0.0012833675564663074,9460,0.0203,-0.08828064764841943,9898,0.02,0.04630021141649049
Nebraska,19320.666666666628,0.01901412100777921,-0.01574147973305714,19440,0.0187,0.006176460439600379,17846,0.018799999999999997,-0.08199588477366256,18822,0.019,0.05469012663902275
Nevada,33862.333333333256,0.022881547386968997,-0.020394977917494405,33788,0.0217,-0.002195162766887177,31191,0.024900000000000002,-0.07686160767136262,32378,0.023,0.0380558494437498
New Hampshire,16592.333333333372,0.021890574831534053,-0.019384960895175385,16571,0.0213,-0.0012857343753162357,15323,0.0242,-0.07531229255929033,15915,0.024,0.03863473210206879
New Jersey,57328.0,0.012941412837119425,-0.03212027587138383,57139,0.0126,-0.003296818308679877,50096,0.013300000000000001,-0.1232608201053571,53334,0.013000000000000001,0.06463589907377834
New Mexico,12182.666666666686,0.013024811931737006,-0.014201135551389747,12365,0.0129,0.014966619240449298,11116,0.0144,-0.10101091791346542,12014,0.015,0.053305277923899705
New York,156059.0,0.01636796803998987,0.40593693693693694,159337,0.0167,0.02100487636086352,153208,0.0179,-0.0384656420040543,160642,0.017,0.048522270377525975
North Carolina,110913.0,0.022351744592025696,0.3692962962962963,112720,0.0221,0.016292048722872883,99670,0.0231,-0.1157735982966643,103854,0.022000000000000002,0.0419785291461824
North Dakota,9266.0,0.022767759515847256,-0.030245944531658818,9192,0.0227,-0.007986186056550831,8258,0.0207,-0.10161009573542211,8614,0.021,0.0431097117946234
Ohio,112486.0,0.01955720795411534,0.423873417721519,114388,0.0197,0.01690877086926373,103437,0.020099999999999996,-0.09573556666783228,110272,0.021,0.06607886926341638
Oklahoma,22662.666666666744,0.012279361432748739,-0.025017029362205487,22765,0.0123,0.0045155027357734615,20132,0.0131,-0.1156600043927081,21602,0.013000000000000001,0.07301808066759388
Oregon,56960.0,0.027102334150463633,-0.023554016525525422,56617,0.0269,-0.006021769662921349,52150,0.028399999999999998,-0.07889856403553704,53869,0.027999999999999997,0.044580182276517354
Pennsylvania,92403.66666666674,0.014431353317778088,-0.005852755851859285,93861,0.0143,0.01577137992359525,87313,0.0159,-0.06976273425597426,92773,0.016,0.04982460110897363
Rhode Island,16990.66666666651,0.030589562629026557,-0.05872359284975675,16429,0.0295,-0.03305736482773974,13874,0.030699999999999998,-0.15551768214742223,14309,0.03,0.03135361107106818
South Carolina,46658.0,0.02014511494563047,-0.026254278320394023,46527,0.0195,-0.0028076642805092374,41888,0.0207,-0.09970554731661185,44011,0.02,0.0506827731092437
South Dakota,11172.666666666686,0.024394042607698306,0.018319914932401607,11458,0.0246,0.02553851661793485,11406,0.027000000000000003,-0.004538313841857218,11860,0.027000000000000003,0.06693055055775458
Tennessee,78695.33333333326,0.024411145708543185,-0.012182135796399556,79626,0.0236,0.011826198927510466,72952,0.025,-0.08381684374450557,77685,0.025,0.02643887743776756
Texas,233447.0,0.01699351486527635,0.5880748299319728,241289,0.017,0.03359220722476622,223406,0.0187,-0.07411444367542656,238884,0.018000000000000002,0.06928193513155421
Utah,43543.33333333337,0.027862294613424817,-0.0063099281527770855,44005,0.027,0.010602464977416232,41514,0.0273,-0.05660720372684922,43452,0.027000000000000003,0.04668304668304668
Vermont,16814.0,0.048482157274342,-0.027952016187310306,16635,0.0488,-0.010645890329487331,15238,0.0537,-0.08397956116621581,15668,0.052000000000000005,0.028218926368289803
Virginia,95158.0,0.022016434007729978,0.25207894736842107,97305,0.0218,0.02256247504150991,88370,0.0236,-0.09182467499100766,92315,0.024,0.057288147240388027
Washington,87338.0,0.023274616922051964,-0.044473376147391226,85035,0.0215,-0.026368819986718268,75684,0.0232,-0.1099664843887811,76905,0.022000000000000002,0.05418631428884746
West Virginia,10076.0,0.012880776119174025,-0.026002899951667473,10078,0.0125,0.0001984914648670107,8996,0.0139,-0.10736257193887676,9540,0.013999999999999999,0.06047132058692752
Wisconsin,77781.0,0.024760082091127265,-0.03303766231344443,76685,0.0247,-0.014090844807857961,69343,0.0252,-0.09574232248810068,71370,0.025,0.02923150137721183
Wyoming,8824.666666666686,0.0303705054829581,-0.02728124483309751,8721,0.0297,-0.011747374782807945,8042,0.0305,-0.07785804380231624,8226,0.031,0.022879880626709773
