,State,Year,Employment,Share,Growth,Good_Day_Ratio,Green_Ratio,Policy_Score,Number_bill,emission_per_capita,Political_Leaning
0,Alabama,2018,0.0745878607401787,0.22222222222222215,0.31474480151228734,0.7079646017699115,0.962,0.12658227848101267,0.0,0.022953835217234354,0.1739130434782609
1,Alaska,2018,0.0,0.1111111111111111,0.28638941398865786,0.9646017699115046,0.93,0.13924050632911394,0.25,1.0,0.27826086956521745
2,Arizona,2018,0.1109557036301825,0.16666666666666657,0.31474480151228734,0.24188790560471984,0.944,0.4430379746835443,0.4,0.053182833384548184,0.3304347826086957
3,Arkansas,2018,0.028286755977036934,0.08333333333333331,0.3251417769376182,0.7286135693215339,0.894,0.25316455696202533,0.1,0.152374965258457,0.2
4,California,2018,0.9999999999999999,0.4166666666666666,1.0,0.0,1.0,0.9873417721518987,0.8500000000000001,0.019996212427463647,0.6173913043478261
5,Colorado,2018,0.11052322325257498,0.22222222222222215,0.3251417769376182,0.3864306784660767,0.89,0.5316455696202531,0.25,0.06415202709078968,0.4173913043478261
6,Connecticut,2018,0.07194039259283579,0.27777777777777773,0.3232514177693762,0.7522123893805308,0.994,0.8481012658227849,0.05,0.023089268050877798,0.5043478260869565
7,Delaware,2018,0.01700149923494335,0.49999999999999994,0.28260869565217395,0.6224188790560474,0.988,0.35443037974683544,0.05,0.0020121331219674693,0.5304347826086957
8,District of Col.,2018,0.019242118407288105,0.7222222222222221,0.30151228733459357,0.19174041297935118,1.0,0.5822784810126582,0.1,0.08638810160114758,1.0
9,Florida,2018,0.3014274498614006,0.1111111111111111,0.7655954631379963,0.8967551622418879,0.986,0.3291139240506329,0.4,0.04935550328021599,0.3652173913043478
10,Georgia,2018,0.15680066446754265,0.1388888888888889,0.28922495274102084,0.7758112094395277,0.956,0.189873417721519,0.0,0.052205201142197025,0.30434782608695654
11,Hawaii,2018,0.016539441886865746,0.24999999999999994,0.30056710775047263,0.8938053097345133,0.0,0.46835443037974683,0.05,0.04698987104671775,0.7217391304347827
12,Idaho,2018,0.013870283961178113,0.08333333333333331,0.3431001890359169,0.6991150442477874,1.0,0.2911392405063291,0.05,0.23826596948715015,0.10434782608695653
13,Illinois,2018,0.23161594056186774,0.19444444444444436,0.7759924385633272,0.545722713864307,0.798,0.5822784810126582,0.7000000000000001,0.0024615623694753093,0.5217391304347826
14,Indiana,2018,0.15669484595439287,0.3611111111111111,0.3308128544423441,0.7197640117994097,0.836,0.15189873417721517,0.1,0.12784512534069115,0.25217391304347825
15,Iowa,2018,0.05195490632773314,0.19444444444444436,0.31096408317580343,0.5634218289085544,0.75,0.31645569620253167,0.0,0.37212512178670587,0.35652173913043483
16,Kansas,2018,0.03760744527117313,0.1388888888888889,0.31474480151228734,0.7817109144542773,0.684,0.07594936708860758,0.1,0.10480293326243097,0.20869565217391306
17,Kentucky,2018,0.06440681089563458,0.19444444444444436,0.30151228733459357,0.7551622418879054,0.8,0.27848101265822783,0.4,0.15886582991316447,0.20869565217391306
18,Louisiana,2018,0.05080206108814467,0.08333333333333331,0.29111531190926276,0.7374631268436576,0.964,0.07594936708860758,0.2,0.2629783144519296,0.26086956521739135
19,Maine,2018,0.013657986382538012,0.16666666666666657,0.3232514177693762,1.0000000000000002,0.98,0.5316455696202531,0.1,0.06631712545981469,0.4521739130434783
20,Maryland,2018,0.1568499594183261,0.4166666666666666,0.31001890359168244,0.6401179941002952,0.956,0.6455696202531644,0.25,0.02984766236997881,0.6086956521739131
21,Massachusetts,2018,0.2182944730621461,0.5277777777777777,0.7655954631379963,0.8141592920353979,0.994,1.0,0.25,0.0033872137714761478,0.6608695652173913
22,Michigan,2018,0.23720401618268053,0.3888888888888888,0.31474480151228734,0.7787610619469023,0.896,0.6075949367088607,1.0,0.06987099234020368,0.4173913043478261
23,Minnesota,2018,0.1113007682856667,0.22222222222222215,0.3062381852551985,0.8082595870206488,0.816,0.6962025316455696,0.1,0.06421498385852537,0.42608695652173917
24,Mississippi,2018,0.029778093869271167,0.1111111111111111,0.3128544423440454,0.7463126843657817,0.988,0.08860759493670886,0.05,0.22342123614497425,0.27826086956521745
25,Missouri,2018,0.09949166987598157,0.16666666666666657,0.0,0.6784660766961654,0.606,0.26582278481012656,0.1,0.05565447875593992,0.24347826086956526
26,Montana,2018,0.00908341494983313,0.22222222222222215,0.3137996219281664,0.7551622418879054,0.35,0.2151898734177215,0.0,0.14652063072418625,0.25217391304347825
27,Nebraska,2018,0.026694201748258053,0.19444444444444436,0.3194706994328923,0.9262536873156344,0.384,0.08860759493670886,0.05,0.2505790291939991,0.2
28,Nevada,2018,0.05536743013943729,0.3055555555555555,0.31568998109640833,0.48377581120943947,0.994,0.27848101265822783,0.0,0.1062221388752841,0.4
29,New Hampshire,2018,0.021314478138224666,0.27777777777777773,0.3166351606805293,0.9882005899705015,0.974,0.37974683544303794,0.05,0.18808073186273014,0.391304347826087
30,New Jersey,2018,0.10163698613407765,0.027777777777777735,0.30434782608695654,0.6047197640117996,0.996,0.43037974683544306,0.2,0.0020287228894886257,0.5217391304347826
31,New Mexico,2018,0.012619507400565187,0.027777777777777735,0.32136105860113423,0.545722713864307,0.932,0.22784810126582278,0.55,0.0971979592694589,0.46956521739130436
32,New York,2018,0.29631457756614044,0.1111111111111111,0.7183364839319473,0.873156342182891,0.992,0.7848101265822784,0.5,0.011515349866814628,0.6000000000000001
33,North Carolina,2018,0.20729578364334103,0.27777777777777773,0.6833648393194708,0.7728613569321532,0.96,0.2911392405063291,0.0,0.01278828904491556,0.3652173913043478
34,North Dakota,2018,0.0068684291518957725,0.3055555555555555,0.3062381852551985,0.8613569321533923,0.3,0.025316455696202528,0.0,0.39158482653318194,0.12173913043478263
35,Ohio,2018,0.2103974219466362,0.22222222222222215,0.7353497164461249,0.6725663716814159,0.92,0.27848101265822783,0.15000000000000002,0.0792542909908438,0.3478260869565218
36,Oklahoma,2018,0.03328395076899068,0.0,0.31096408317580343,0.6312684365781711,0.972,0.16455696202531644,0.05,0.11912182023283127,0.11304347826086958
37,Oregon,2018,0.10091136445854515,0.4166666666666666,0.3119092627599244,0.654867256637168,0.992,0.7721518987341771,0.6000000000000001,0.02463898920995489,0.48695652173913045
38,Pennsylvania,2018,0.1707991172725558,0.055555555555555525,0.3289224952741021,0.6460176991150444,0.956,0.43037974683544306,0.25,0.07194420593197469,0.4
39,Rhode Island,2018,0.022099912335239787,0.5277777777777777,0.27882797731569,0.8289085545722712,0.998,0.9240506329113924,0.15000000000000002,0.026542246964677888,0.6347826086956522
40,South Carolina,2018,0.08059790113969788,0.22222222222222215,0.31001890359168244,0.929203539823009,0.952,0.13924050632911394,0.2,0.05964189510563267,0.26086956521739135
41,South Dakota,2018,0.010627991388913492,0.3333333333333333,0.3516068052930057,0.8938053097345133,0.86,0.07594936708860758,0.0,0.05273152696389537,0.13913043478260873
42,Tennessee,2018,0.14376905127842776,0.3333333333333333,0.3232514177693762,0.7994100294985251,0.91,0.24050632911392406,0.0,0.049064365825039064,0.16521739130434784
43,Texas,2018,0.4489080836153496,0.1388888888888889,0.890359168241966,0.6430678466076698,0.958,0.3037974683544304,0.4,0.10772233159870345,0.26086956521739135
44,Utah,2018,0.07445640688082347,0.44444444444444436,0.3289224952741021,0.15634218289085555,0.844,0.4177215189873417,0.0,0.08918997944291182,0.13913043478260873
45,Vermont,2018,0.02175156069243734,1.0,0.3081285444234405,0.9646017699115046,0.606,0.9113924050632911,0.0,0.5884859039430784,0.6173913043478261
46,Virginia,2018,0.17623010565960595,0.27777777777777773,0.5727788279773157,0.985250737463127,0.984,0.2911392405063291,0.5,0.0,0.40869565217391307
47,Washington,2018,0.16081064505454035,0.3055555555555555,0.29300567107750475,0.7699115044247786,0.952,0.6835443037974684,0.05,0.024065302004567895,0.5130434782608696
48,West Virginia,2018,0.008465585557279803,0.027777777777777735,0.31001890359168244,0.8967551622418879,0.318,0.025316455696202528,0.1,0.23680687042327656,0.14782608695652177
49,Wisconsin,2018,0.14196617126904013,0.3611111111111111,0.30340264650283555,0.7256637168141593,0.866,0.27848101265822783,0.05,0.11160361959081769,0.4
50,Wyoming,2018,0.005998209611331139,0.49999999999999994,0.30907372400756145,0.6194690265486729,0.206,0.0,0.2,0.8504387682079448,0.0
0,Alabama,2019,0.07190033333897995,0.21621621621621617,0.4523809523809525,0.47040498442367573,0.966,0.125,0.034482758620689655,0.024938558094412182,0.16666666666666666
1,Alaska,2019,0.0,0.10810810810810811,0.07142857142857145,0.70404984423676,0.92,0.15000000000000002,0.25862068965517243,1.0,0.2675438596491228
2,Arizona,2019,0.10630332529630654,0.13513513513513514,0.4047619047619049,0.13707165109034225,0.964,0.425,0.24137931034482757,0.05101007954625664,0.3289473684210526
3,Arkansas,2019,0.027760681058026582,0.08108108108108109,0.5357142857142858,0.542056074766355,0.918,0.23750000000000004,0.0,0.15224629374999113,0.18421052631578946
4,California,2019,1.0,0.4324324324324324,0.9523809523809526,0.09034267912772576,1.0,0.9750000000000001,1.0,0.020652920445634618,0.6052631578947368
5,Colorado,2019,0.10689433850752224,0.21621621621621617,0.5000000000000001,0.4641744548286604,0.898,0.5625,0.15517241379310345,0.0689109895976139,0.40789473684210525
6,Connecticut,2019,0.06931606219567055,0.27027027027027023,0.4404761904761906,0.5919003115264796,1.0,0.8,0.06896551724137931,0.02315120569700869,0.4956140350877193
7,Delaware,2019,0.01565055685114184,0.4594594594594595,0.011904761904761918,0.35514018691588767,0.996,0.4000000000000001,0.15517241379310345,0.001973513749934316,0.5175438596491228
8,District of Col.,2019,0.018360935908946323,0.6756756756756757,0.2738095238095239,0.0,1.0,0.6125,0.0,0.07881591106537919,1.0
9,Florida,2019,0.3019136405472707,0.10810810810810811,0.9523809523809526,0.6978193146417446,0.99,0.30000000000000004,0.25862068965517243,0.048012456995656094,0.35526315789473684
10,Georgia,2019,0.14714723193127682,0.10810810810810811,0.17857142857142866,0.38940809968847345,0.968,0.16250000000000003,0.034482758620689655,0.05367934652512303,0.293859649122807
11,Hawaii,2019,0.015620441528277348,0.24324324324324326,0.19047619047619052,1.0,0.0,0.525,0.0,0.049660785391747,0.7192982456140351
12,Idaho,2019,0.014216314599720305,0.08108108108108109,0.7261904761904764,0.6853582554517135,1.0,0.25000000000000006,0.0,0.2258383276701506,0.10526315789473684
13,Illinois,2019,0.22536801865644251,0.21621621621621617,0.5952380952380953,0.3426791277258565,0.854,0.6125,0.43103448275862066,0.003174830491987424,0.5175438596491228
14,Indiana,2019,0.15295572482876615,0.37837837837837834,0.6190476190476192,0.5514018691588785,0.88,0.15000000000000002,0.034482758620689655,0.12597508831682533,0.25
15,Iowa,2019,0.04974486674910736,0.16216216216216212,0.3690476190476191,0.5389408099688473,0.794,0.35000000000000003,0.0,0.36093046721398575,0.33771929824561403
16,Kansas,2019,0.03629084625939458,0.13513513513513514,0.4166666666666668,0.7258566978193146,0.71,0.06250000000000001,0.034482758620689655,0.10362517131648045,0.21052631578947367
17,Kentucky,2019,0.06143149422821015,0.16216216216216212,0.3333333333333334,0.6230529595015577,0.818,0.16250000000000003,0.13793103448275862,0.1557587659765798,0.19736842105263158
18,Louisiana,2019,0.04796053386938608,0.08108108108108109,0.22619047619047625,0.5607476635514019,0.978,0.05,0.10344827586206896,0.28715105465203844,0.24561403508771928
19,Maine,2019,0.013495429058651476,0.16216216216216212,0.47619047619047633,0.8878504672897196,0.994,0.5375,0.017241379310344827,0.05986026084775467,0.43859649122807015
20,Maryland,2019,0.14854571223679677,0.37837837837837834,0.2857142857142858,0.4890965732087227,0.974,0.75,0.1896551724137931,0.02654381992269193,0.6052631578947368
21,Massachusetts,2019,0.21993408508708034,0.5405405405405406,1.0000000000000002,0.7538940809968846,0.998,1.0,0.22413793103448276,0.003289600589921041,0.631578947368421
22,Michigan,2019,0.22536990086412154,0.35135135135135137,0.3214285714285715,0.6853582554517135,0.916,0.6,0.4482758620689655,0.07008077748808336,0.43421052631578944
23,Minnesota,2019,0.10573678078491824,0.21621621621621617,0.3095238095238096,0.7258566978193146,0.89,0.7,0.13793103448275862,0.061930915697701976,0.41666666666666663
24,Mississippi,2019,0.028905063326877364,0.10810810810810811,0.4523809523809525,0.5327102803738315,0.99,0.08750000000000001,0.034482758620689655,0.21801879093938428,0.27192982456140347
25,Missouri,2019,0.09572531814015295,0.16216216216216212,0.4404761904761906,0.6292834890965731,0.654,0.25000000000000006,0.034482758620689655,0.05774284759131822,0.22807017543859648
26,Montana,2019,0.008936722060038663,0.1891891891891892,0.38095238095238104,0.7383177570093458,0.352,0.2,0.0,0.16699524419594422,0.24561403508771928
27,Nebraska,2019,0.02599705246277464,0.1891891891891892,0.4642857142857144,0.8535825545171343,0.472,0.125,0.034482758620689655,0.2580222710847908,0.18859649122807015
28,Nevada,2019,0.053002968241509824,0.27027027027027023,0.3690476190476191,0.5514018691588785,0.992,0.275,0.0,0.10650551638937557,0.39473684210526316
29,New Hampshire,2019,0.020596998631635017,0.24324324324324326,0.38095238095238104,0.9376947040498442,0.992,0.41250000000000003,0.12068965517241378,0.18567661919093345,0.39035087719298245
30,New Jersey,2019,0.09695439975456012,0.02702702702702703,0.35714285714285726,0.42990654205607504,0.998,0.4875000000000001,0.10344827586206896,0.0018891674372186961,0.5087719298245614
31,New Mexico,2019,0.0126804331336311,0.02702702702702703,0.5714285714285716,0.4267912772585669,0.922,0.23750000000000004,0.15517241379310345,0.10603046967779826,0.46929824561403505
32,New York,2019,0.2893122601361589,0.13513513513513514,0.642857142857143,0.8037383177570097,0.998,0.8125,0.4482758620689655,0.013146576148775185,0.5964912280701754
33,North Carolina,2019,0.20156938476277594,0.27027027027027023,0.5833333333333335,0.5545171339563861,0.96,0.275,0.08620689655172414,0.013826967979138531,0.3640350877192982
34,North Dakota,2019,0.006708188168066089,0.2972972972972973,0.29761904761904767,0.8722741433021803,0.4,0.012499999999999997,0.034482758620689655,0.38710695951636087,0.10964912280701755
35,Ohio,2019,0.20470890717139947,0.21621621621621617,0.5952380952380953,0.5109034267912769,0.944,0.23750000000000004,0.22413793103448276,0.07851682396747342,0.3464912280701754
36,Oklahoma,2019,0.03225539299555234,0.0,0.4523809523809525,0.5607476635514019,0.986,0.18750000000000006,0.0,0.11434274459117658,0.10964912280701755
37,Oregon,2019,0.095971887346106,0.4054054054054053,0.3214285714285715,0.570093457943925,0.99,0.6875,0.22413793103448276,0.0314245246618227,0.47368421052631576
38,Pennsylvania,2019,0.16607283014393243,0.05405405405405406,0.5833333333333335,0.514018691588785,0.972,0.47500000000000003,0.25862068965517243,0.0785929261522955,0.39473684210526316
39,Rhode Island,2019,0.020329725141212632,0.48648648648648646,0.0,0.70404984423676,1.0,0.8999999999999999,0.034482758620689655,0.026019568628335356,0.6228070175438596
40,South Carolina,2019,0.07698041186468432,0.21621621621621617,0.35714285714285726,0.6791277258566977,0.966,0.15000000000000002,0.0,0.0571570990889811,0.2587719298245614
41,South Dakota,2019,0.010973270768750085,0.35135135135135137,0.7023809523809526,0.7538940809968846,0.848,0.06250000000000001,0.017241379310344827,0.06241342040064653,0.14473684210526316
42,Tennessee,2019,0.13927960383292773,0.3243243243243243,0.5357142857142858,0.5856697819314642,0.93,0.25000000000000006,0.034482758620689655,0.05072205190938886,0.15789473684210525
43,Texas,2019,0.44356294384809836,0.13513513513513514,0.7976190476190479,0.4330218068535827,0.968,0.275,0.27586206896551724,0.11425757009099166,0.2543859649122807
44,Utah,2019,0.07223348409816842,0.4054054054054053,0.523809523809524,0.3177570093457942,0.858,0.37500000000000006,0.13793103448275862,0.09601270072263353,0.13596491228070173
45,Vermont,2019,0.020717459923092995,1.0,0.261904761904762,0.8504672897196262,0.822,0.8999999999999999,0.08620689655172414,0.5939205126293008,0.6140350877192982
46,Virginia,2019,0.1725551533905148,0.27027027027027023,0.6666666666666667,0.8411214953271031,0.994,0.2625,0.15517241379310345,0.0,0.43421052631578944
47,Washington,2019,0.1494604651688058,0.27027027027027023,0.08333333333333337,0.6978193146417446,0.958,0.675,0.08620689655172414,0.031014284081197142,0.5219298245614035
48,West Virginia,2019,0.008375824171687456,0.02702702702702703,0.39285714285714296,0.7352024922118381,0.442,0.05,0.08620689655172414,0.21876240135604091,0.12719298245614036
49,Wisconsin,2019,0.13374403104889787,0.35135135135135137,0.22619047619047625,0.6728971962616823,0.908,0.28750000000000003,0.0,0.1137677517925946,0.38596491228070173
50,Wyoming,2019,0.005821668351242541,0.48648648648648646,0.2500000000000001,0.64797507788162,0.246,0.0,0.10344827586206896,0.8451558897032123,0.0
0,Alabama,2020,0.07214266076828872,0.1951219512195122,0.3774834437086092,0.6597938144329896,0.97,0.12345679012345678,0.5652173913043478,0.030070084949712462,0.15929203539823011
1,Alaska,2020,0.0,0.07317073170731708,0.11258278145695355,0.8711340206185567,0.908,0.13580246913580246,0.08695652173913043,0.9751783515128024,0.25663716814159293
2,Arizona,2020,0.10758708021960628,0.1707317073170732,0.4370860927152318,0.18814432989690744,0.98,0.3950617283950617,0.34782608695652173,0.04608110042566647,0.3274336283185841
3,Arkansas,2020,0.029073254854914896,0.07317073170731708,0.5231788079470198,0.7474226804123711,0.934,0.2345679012345679,0.043478260869565216,0.15011225313194754,0.168141592920354
4,California,2020,1.0,0.4146341463414634,0.39072847682119194,0.0,1.0,1.0,1.0,0.023672614311149785,0.5929203539823009
5,Colorado,2020,0.11108195246307266,0.21951219512195114,0.5827814569536423,0.49742268041237114,0.924,0.654320987654321,0.17391304347826086,0.07194718399883807,0.39823008849557523
6,Connecticut,2020,0.073000758124849,0.3170731707317073,0.6357615894039734,0.634020618556701,1.0,0.728395061728395,0.0,0.032510597171714985,0.48672566371681414
7,Delaware,2020,0.014852165654445028,0.3658536585365854,0.09933774834437092,0.7087628865979383,0.998,0.4320987654320987,0.43478260869565216,0.002444037905585326,0.504424778761062
8,District of Col.,2020,0.0181866653336999,0.1463414634146341,0.2582781456953641,0.6546391752577319,1.0,0.7160493827160493,0.0,0.09144357567635017,1.0
9,Florida,2020,0.3015337448868228,0.12195121951219506,0.3774834437086092,0.7190721649484537,0.992,0.30864197530864196,0.17391304347826086,0.052544621323899136,0.34513274336283184
10,Georgia,2020,0.13800996392658685,0.09756097560975613,0.0331125827814569,0.731958762886598,0.982,0.14814814814814814,0.0,0.047741281573566316,0.2831858407079646
11,Hawaii,2020,0.016041421942299204,0.2926829268292684,0.3774834437086092,1.0,0.0,0.5925925925925926,0.043478260869565216,0.05258613089669446,0.7168141592920354
12,Idaho,2020,0.016031008139428322,0.07317073170731708,0.7152317880794701,0.5953608247422677,1.0,0.25925925925925924,0.0,0.21781466905168287,0.10619469026548672
