,State,Year,Employment,Share,Growth,Good_Day_Ratio,Green_Ratio,Policy_Score,Number_bill,emission_per_capita,Political_Leaning
0,Alabama,2018,43610.0,0.02,-0.021,0.819,0.481,9.5,0,2.804493506,-27.0
1,Alabama,2019,43828.0,0.02,0.005,0.814,0.483,9.5,2,2.822883365,-27.0
2,Alabama,2020,39486.0,0.021,-0.099,0.86,0.485,9.0,13,2.705403016,-27.0
3,Alabama,2021,41984.0,0.021,0.052,0.858,0.482,5.0,2,2.69223646,-28.08987
4,Alaska,2018,5782.667,0.016,-0.051,0.906,0.465,10.0,5,120.0215223,-15.0
5,Alaska,2019,5628.0,0.016,-0.027,0.889,0.46,10.5,15,111.109086,-15.5
6,Alaska,2020,4848.0,0.016,-0.139,0.942,0.454,9.5,2,87.28383237,-16.0
7,Alaska,2021,5006.0,0.017,0.033,0.923,0.461,6.5,7,94.71354543,-15.30555
8,Arizona,2018,62054.0,0.018,-0.021,0.661,0.472,22.0,8,6.43109118,-9.0
9,Arizona,2019,62106.0,0.017,0.001,0.707,0.482,21.5,14,5.718276346,-8.5
10,Arizona,2020,56504.0,0.02,-0.09,0.677,0.49,20.0,8,4.13824049,-8.0
11,Arizona,2021,59383.0,0.019,0.051,0.646,0.488,13.0,27,5.079197499,-7.5856545
12,Arkansas,2018,20128.333,0.015,-0.01,0.826,0.447,14.5,2,18.3312525,-24.0
13,Arkansas,2019,20377.0,0.015,0.012,0.837,0.459,14.0,0,16.96114242,-25.0
14,Arkansas,2020,18807.0,0.016,-0.077,0.894,0.467,13.5,1,13.44806436,-26.0
15,Arkansas,2021,19965.0,0.016,0.065,0.829,0.461,7.5,1,13.02815825,-28.75088
16,California,2018,512934.0,0.027,0.704,0.579,0.5,43.5,17,2.449665077,24.0
17,California,2019,536919.0,0.028,0.047,0.692,0.5,43.5,58,2.346938561,23.0
18,California,2020,484980.0,0.03,-0.097,0.604,0.5,44.5,23,2.132888694,22.0
19,California,2021,505083.0,0.029,0.041,0.606,0.5,47.0,60,2.180445948,23.872635
20,Colorado,2018,61834.667,0.02,-0.01,0.71,0.445,25.5,5,7.747074335,1.0
21,Colorado,2019,62420.0,0.02,0.009,0.812,0.449,27.0,9,7.706275758,0.5
22,Colorado,2020,58182.0,0.022,-0.068,0.797,0.462,30.5,4,6.453015209,0.0
23,Colorado,2021,61179.0,0.022,0.052,0.749,0.449,30.5,9,6.737371672,3.375117
24,Connecticut,2018,42267.333,0.022,-0.012,0.834,0.497,38.0,1,2.820741494,11.0
25,Connecticut,2019,42455.0,0.022,0.004,0.853,0.5,36.5,4,2.624387562,10.5
26,Connecticut,2020,39898.0,0.026,-0.06,0.85,0.5,33.5,0,2.923806238,10.0
27,Connecticut,2021,41458.0,0.025,0.05,0.834,0.499,32.5,2,3.038314023,11.07296
28,Delaware,2018,14405.0,0.03,-0.055,0.79,0.494,18.5,1,0.29210035,14.0
29,Delaware,2019,13943.0,0.029,-0.032,0.777,0.498,20.5,9,0.272482602,13.0
30,Delaware,2020,11979.0,0.028,-0.141,0.879,0.499,21.5,10,0.23312788,12.0
31,Delaware,2021,12268.0,0.027,0.029,0.818,0.496,21.5,2,0.224415552,12.961585
32,District of Col.,2018,15541.333,0.038,-0.035,0.644,0.5,27.5,2,10.41475441,68.0
33,District of Col.,2019,15383.0,0.037,-0.01,0.663,0.5,29.0,0,8.806274473,68.0
34,District of Col.,2020,13580.0,0.019,-0.117,0.858,0.5,33.0,0,8.197761546,68.0
35,District of Col.,2021,14244.0,0.019,0.049,0.69,0.5,35.0,2,8.413455433,68.16179
36,Florida,2018,158652.0,0.016,0.456,0.883,0.493,17.5,8,5.971923252,-5.0
37,Florida,2019,166032.0,0.016,0.047,0.887,0.495,16.5,15,5.385373055,-5.5
38,Florida,2020,149624.0,0.018,-0.099,0.883,0.496,16.5,4,4.716665698,-6.0
39,Florida,2021,158467.0,0.017,0.059,0.898,0.496,10.0,20,4.627654066,-6.6984390000000005
40,Georgia,2018,85304.333,0.017,-0.048,0.842,0.478,12.0,0,6.313803839,-12.0
41,Georgia,2019,83806.0,0.016,-0.018,0.788,0.484,11.0,2,6.014713855,-12.5
42,Georgia,2020,71111.0,0.017,-0.151,0.888,0.491,10.0,0,4.286811314,-13.0
43,Georgia,2021,75211.0,0.016,0.058,0.821,0.488,6.5,7,4.666731969,-10.1787745
44,Hawaii,2018,14170.667,0.021,-0.036,0.882,0.0,23.0,1,5.688116415,36.0
45,Hawaii,2019,13927.0,0.021,-0.017,0.984,0.0,25.5,0,5.56842944,36.0
46,Hawaii,2020,12550.0,0.025,-0.099,0.992,0.0,28.0,1,4.72038042,36.0
47,Hawaii,2021,12873.0,0.021,0.026,0.994,0.0,23.0,0,4.634090429,33.906205
48,Idaho,2018,12817.0,0.015,0.009,0.816,0.5,16.0,1,28.63566664,-35.0
49,Idaho,2019,13181.0,0.015,0.028,0.883,0.5,14.5,0,25.13396267,-34.0
50,Idaho,2020,12545.0,0.016,-0.048,0.835,0.5,14.5,0,19.50680303,-33.0
51,Idaho,2021,13409.0,0.017,0.068,0.781,0.5,9.5,0,23.35687304,-34.895255
52,Illinois,2018,123247.0,0.019,0.467,0.764,0.399,27.5,14,0.346018745,13.0
53,Illinois,2019,125364.0,0.02,0.017,0.773,0.427,29.0,25,0.405895762,13.0
54,Illinois,2020,115133.0,0.021,-0.082,0.81,0.464,27.0,11,0.343814083,13.0
55,Illinois,2021,120775.0,0.021,0.049,0.75,0.435,24.5,23,0.367770532,13.104595
56,Indiana,2018,85250.667,0.025,-0.004,0.823,0.418,10.5,2,15.38838751,-18.0
57,Indiana,2019,86892.0,0.026,0.019,0.84,0.44,10.5,2,14.04357338,-17.5
58,Indiana,2020,80614.0,0.027,-0.072,0.859,0.454,11.5,0,10.30798013,-17.0
59,Indiana,2021,86215.0,0.028,0.069,0.809,0.442,9.0,2,11.71698371,-18.62817
60,Iowa,2018,32131.667,0.019,-0.025,0.77,0.375,17.0,0,44.6948588,-6.0
61,Iowa,2019,32057.0,0.018,-0.002,0.836,0.397,18.5,0,40.13672472,-7.5
62,Iowa,2020,28953.0,0.02,-0.097,0.856,0.424,12.5,0,33.21982339,-9.0
63,Iowa,2021,30393.0,0.02,0.05,0.783,0.389,8.0,3,35.93890818,-9.3056385
64,Kansas,2018,24855.333,0.017,-0.021,0.844,0.342,7.5,2,12.62399685,-23.0
65,Kansas,2019,24909.0,0.017,0.002,0.896,0.355,7.0,2,11.56148606,-22.0
66,Kansas,2020,22572.0,0.017,-0.094,0.867,0.345,7.0,0,10.46165337,-21.0
67,Kansas,2021,23821.0,0.017,0.055,0.805,0.325,3.0,6,11.07056265,-21.03681
68,Kentucky,2018,38446.667,0.019,-0.035,0.835,0.4,15.5,8,19.10996685,-23.0
69,Kentucky,2019,38266.0,0.018,-0.005,0.863,0.409,11.0,8,17.35122274,-23.5
70,Kentucky,2020,33150.0,0.018,-0.134,0.917,0.417,13.5,1,13.19502669,-24.0
71,Kentucky,2021,35437.0,0.018,0.069,0.851,0.411,7.0,4,14.85594394,-25.594355
72,Louisiana,2018,31547.0,0.015,-0.046,0.829,0.482,7.5,4,31.60042691,-17.0
73,Louisiana,2019,31109.0,0.015,-0.014,0.843,0.489,6.5,6,31.94309499,-18.0
74,Louisiana,2020,26393.0,0.015,-0.152,0.877,0.491,8.0,5,27.91306585,-19.0
75,Louisiana,2021,28094.0,0.015,0.064,0.879,0.486,3.5,7,28.85164263,-19.698410000000003
76,Maine,2018,12709.333,0.018,-0.012,0.918,0.49,25.5,2,8.00682296,5.0
77,Maine,2019,12798.0,0.018,0.007,0.948,0.497,26.0,1,6.701140076,4.0
78,Maine,2020,11922.0,0.02,-0.068,0.951,0.497,26.5,2,6.050964601,3.0
79,Maine,2021,12493.0,0.02,0.043,0.932,0.498,35.5,3,6.36694104,3.6899155
80,Maryland,2018,85329.333,0.027,-0.026,0.796,0.478,30.0,5,3.631551597,23.0
81,Maryland,2019,84549.0,0.026,-0.009,0.82,0.487,34.5,11,3.001156959,23.0
82,Maryland,2020,77842.0,0.031,-0.079,0.927,0.492,34.5,1,2.374058229,23.0
83,Maryland,2021,80025.0,0.03,0.028,0.842,0.488,33.0,2,2.813940866,24.63195
84,Massachusetts,2018,116491.0,0.031,0.456,0.855,0.497,44.0,5,0.457069902,29.0
85,Massachusetts,2019,122477.0,0.032,0.051,0.905,0.499,44.5,13,0.418641644,26.0
86,Massachusetts,2020,108909.0,0.033,-0.111,0.907,0.5,42.5,3,0.357839101,23.0
87,Massachusetts,2021,113409.0,0.032,0.041,0.871,0.499,44.5,14,0.416814972,27.838615
88,Michigan,2018,126081.0,0.026,-0.021,0.843,0.448,28.5,20,8.433183281,1.0
89,Michigan,2019,125365.0,0.025,-0.006,0.883,0.458,28.5,26,7.836187457,3.5
90,Michigan,2020,113456.0,0.028,-0.095,0.879,0.469,28.5,10,6.161767652,6.0
91,Michigan,2021,119853.0,0.028,0.056,0.798,0.454,26.0,13,6.944393411,2.412013
92,Minnesota,2018,62229.0,0.02,-0.03,0.853,0.408,32.0,2,7.75462731,2.0
93,Minnesota,2019,61805.0,0.02,-0.007,0.896,0.445,32.5,8,6.931098252,1.5
94,Minnesota,2020,55329.0,0.02,-0.105,0.931,0.453,32.0,4,5.73347897,1.0
95,Minnesota,2021,57931.0,0.021,0.047,0.835,0.454,32.0,12,6.31488212,1.4976305
96,Mississippi,2018,20884.667,0.016,-0.023,0.832,0.494,8.0,1,26.85473182,-15.0
97,Mississippi,2019,20985.0,0.016,0.005,0.834,0.495,8.0,2,24.26555797,-15.0
