,State,Year,Employment,Share,Growth,Good_Day_Ratio,Green_Ratio,Policy_Score,Number_bill,emission_per_capita,Political_Leaning
0,Alabama,2018,0.07285117963580048,0.19047619047619052,0.31474480151228734,0.5783132530120481,0.962,0.16666666666666666,0.0,0.023249324898988337,0.1767658380166728
1,Alabama,2019,0.07326089939124665,0.19047619047619052,0.3393194706994329,0.5662650602409638,0.966,0.16666666666666666,0.03333333333333333,0.023402564640500893,0.1767658380166728
2,Alabama,2020,0.06510033435387381,0.21428571428571436,0.2410207939508507,0.6771084337349396,0.97,0.15555555555555556,0.21666666666666667,0.022423619760414272,0.1767658380166728
3,Alabama,2021,0.06979519650572949,0.21428571428571436,0.38374291115311915,0.6722891566265061,0.964,0.06666666666666668,0.03333333333333333,0.022313904963903293,0.1673374927100033
4,Alaska,2018,0.0017566584158881064,0.09523809523809529,0.28638941398865786,0.7879518072289158,0.93,0.17777777777777778,0.08333333333333333,1.0,0.28057651606087447
5,Alaska,2019,0.0014659697671927253,0.09523809523809529,0.30907372400756145,0.7469879518072289,0.92,0.18888888888888888,0.25,0.9257340997090233,0.276251071142366
6,Alaska,2020,0.0,0.09523809523809529,0.20321361058601134,0.8746987951807226,0.908,0.16666666666666666,0.03333333333333333,0.7272020877054353,0.27192562622385763
7,Alaska,2021,0.0002969528502775008,0.11904761904761912,0.36578449905482047,0.8289156626506027,0.922,0.1,0.11666666666666667,0.7891126933727687,0.277933236671174
8,Arizona,2018,0.10751572628464998,0.14285714285714285,0.31474480151228734,0.19759036144578324,0.944,0.4444444444444445,0.13333333333333333,0.05346918086057007,0.3324818550829753
9,Arizona,2019,0.10761345760246283,0.11904761904761912,0.335538752362949,0.308433734939759,0.964,0.43333333333333335,0.23333333333333334,0.047529409331681476,0.3368073000014837
10,Arizona,2020,0.0970847875565479,0.19047619047619052,0.24952741020793953,0.2361445783132532,0.98,0.4,0.13333333333333333,0.03436322430796757,0.34113274491999207
11,Arizona,2021,0.10249571955622463,0.16666666666666669,0.38279773156899816,0.16144578313253022,0.976,0.24444444444444446,0.45,0.04220406793997084,0.3447172021949557
12,Arkansas,2018,0.02871859770594526,0.07142857142857145,0.3251417769376182,0.5951807228915662,0.894,0.2777777777777778,0.03333333333333333,0.15263131389457102,0.20271850752772325
13,Arkansas,2019,0.02918595450607156,0.07142857142857145,0.3459357277882798,0.6216867469879519,0.918,0.26666666666666666,0.0,0.1412144066467804,0.19406761769070643
14,Arkansas,2020,0.026235220487491336,0.09523809523809529,0.2618147448015123,0.7590361445783134,0.934,0.25555555555555554,0.016666666666666666,0.11194049139665083,0.18541672785368962
15,Arkansas,2021,0.028411621757246687,0.09523809523809529,0.39603024574669193,0.6024096385542168,0.922,0.12222222222222223,0.016666666666666666,0.10844148122175265,0.16161916801883686
16,California,2018,0.9549214296588238,0.35714285714285726,1.0,0.0,1.0,0.9222222222222223,0.2833333333333333,0.020292596587952003,0.6179612197045298
17,California,2019,1.0,0.3809523809523811,0.37901701323251424,0.272289156626506,1.0,0.9222222222222223,0.9666666666666667,0.019436593028690045,0.609310329867513
18,California,2020,0.9023833285407399,0.42857142857142866,0.24291115311909264,0.06024096385542177,1.0,0.9444444444444445,0.3833333333333333,0.017652949864820383,0.6006594400304962
19,California,2021,0.9401658801175031,0.40476190476190493,0.3733459357277883,0.06506024096385543,1.0,1.0,1.0,0.018049236824389074,0.6168593991204381
20,Colorado,2018,0.10710350122446065,0.19047619047619052,0.3251417769376182,0.3156626506024096,0.89,0.5222222222222223,0.08333333333333333,0.06443505713548214,0.4189907534531433
