State,year,Employment,Share,Growth,Good Day Ratio,TRADITIONAL RATIO,GREEN RATIO,SCORE,Total_emissions,CO2_emissions,CH4_emissions,N2O_emissions
Alabama,2018,43610.000 ,0.020 ,-0.021 ,0.819 ,0.519 ,0.481 ,9.500 ,14230830.176 ,13667803.500 ,546573.500 ,16453.176 
Alabama,2019,43828.000 ,0.020 ,0.005 ,0.814 ,0.517 ,0.483 ,9.500 ,14324145.772 ,13730822.200 ,576504.750 ,16818.822 
Alabama,2020,39486.000 ,0.021 ,-0.099 ,0.860 ,0.515 ,0.485 ,9.000 ,13728015.700 ,518053.750 ,17368.930 ,14263438.380 
Alabama,2021,41984.000 ,0.021 ,0.052 ,0.858 ,0.518 ,0.482 ,5.000 ,13661204.700 ,561698.000 ,17234.234 ,14240136.934 
Alaska,2018,5782.667 ,0.016 ,-0.051 ,0.906 ,0.535 ,0.465 ,10.000 ,88045748.428 ,77470318.600 ,9754610.825 ,354521.958 
Alaska,2019,5628.000 ,0.016 ,-0.027 ,0.889 ,0.540 ,0.460 ,10.500 ,81507736.662 ,71348695.500 ,9145008.075 ,339315.912 
Alaska,2020,4848.000 ,0.016 ,-0.139 ,0.942 ,0.547 ,0.454 ,9.500 ,64029935.600 ,8905253.475 ,337592.578 ,73718022.104 
Alaska,2021,5006.000 ,0.017 ,0.033 ,0.923 ,0.539 ,0.461 ,6.500 ,69480246.800 ,7891924.425 ,410441.658 ,78464782.086 
Arizona,2018,62054.000 ,0.018 ,-0.021 ,0.661 ,0.528 ,0.472 ,22.000 ,47327666.921 ,44862114.400 ,1901172.500 ,477861.178 
Arizona,2019,62106.000 ,0.017 ,0.001 ,0.707 ,0.518 ,0.482 ,21.500 ,42081922.126 ,39829349.300 ,1977265.500 ,207152.912 
Arizona,2020,56504.000 ,0.020 ,-0.090 ,0.677 ,0.511 ,0.490 ,20.000 ,30454127.000 ,2037268.250 ,153839.818 ,32751577.682 
Arizona,2021,59383.000 ,0.019 ,0.051 ,0.646 ,0.512 ,0.488 ,13.000 ,37378815.000 ,2008588.000 ,209531.250 ,39680572.849 
Arkansas,2018,20128.333 ,0.015 ,-0.010 ,0.826 ,0.553 ,0.447 ,14.500 ,55830340.877 ,52851527.300 ,1701629.000 ,756805.270 
Arkansas,2019,20377.000 ,0.015 ,0.012 ,0.837 ,0.541 ,0.459 ,14.000 ,51657482.910 ,48795719.500 ,1793616.750 ,638333.582 
Arkansas,2020,18807.000 ,0.016 ,-0.077 ,0.894 ,0.533 ,0.467 ,13.500 ,40957922.400 ,1460826.750 ,562444.008 ,43507354.386 
Arkansas,2021,19965.000 ,0.016 ,0.065 ,0.829 ,0.539 ,0.461 ,7.500 ,39679040.800 ,1475579.000 ,493812.522 ,42254233.920 
California,2018,512934.000 ,0.027 ,0.704 ,0.579 ,0.500 ,0.500 ,43.500 ,95608816.058 ,88600186.700 ,6737763.000 ,129738.770 
California,2019,536919.000 ,0.028 ,0.047 ,0.692 ,0.500 ,0.500 ,43.500 ,91599467.752 ,84444095.100 ,6952070.000 ,123714.700 
California,2020,484980.000 ,0.030 ,-0.097 ,0.604 ,0.500 ,0.500 ,44.500 ,83245242.300 ,7030660.750 ,115400.202 ,90473016.154 
California,2021,505083.000 ,0.029 ,0.041 ,0.606 ,0.500 ,0.500 ,47.000 ,85101370.600 ,6700835.500 ,118940.442 ,92020246.993 
Colorado,2018,61834.667 ,0.020 ,-0.010 ,0.710 ,0.555 ,0.445 ,25.500 ,45242340.833 ,42477573.900 ,2158412.000 ,153506.058 
Colorado,2019,62420.000 ,0.020 ,0.009 ,0.812 ,0.551 ,0.449 ,27.000 ,45004080.163 ,42183835.500 ,2304753.250 ,149611.496 
Colorado,2020,58182.000 ,0.022 ,-0.068 ,0.797 ,0.538 ,0.462 ,30.500 ,37685131.300 ,1832449.250 ,124444.800 ,39896219.911 
Colorado,2021,61179.000 ,0.022 ,0.052 ,0.749 ,0.551 ,0.449 ,30.500 ,39345752.000 ,1898521.000 ,139815.044 ,41648898.346 
Connecticut,2018,42267.333 ,0.022 ,-0.012 ,0.834 ,0.503 ,0.497 ,38.000 ,10228586.910 ,10084198.900 ,114574.600 ,29813.410 
Connecticut,2019,42455.000 ,0.022 ,0.004 ,0.853 ,0.500 ,0.500 ,36.500 ,9516567.300 ,9351760.000 ,136162.050 ,28645.250 
Connecticut,2020,39898.000 ,0.026 ,-0.060 ,0.850 ,0.500 ,0.500 ,33.500 ,10602320.800 ,112975.550 ,29513.026 ,10744809.376 
Connecticut,2021,41458.000 ,0.025 ,0.050 ,0.834 ,0.501 ,0.499 ,32.500 ,11017549.500 ,114072.875 ,29935.590 ,11161557.965 
Delaware,2018,14405.000 ,0.030 ,-0.055 ,0.790 ,0.506 ,0.494 ,18.500 ,297473.828 ,297087.300 ,159.750 ,226.778 
Delaware,2019,13943.000 ,0.029 ,-0.032 ,0.777 ,0.502 ,0.498 ,20.500 ,277495.192 ,277178.200 ,137.000 ,179.992 
Delaware,2020,11979.000 ,0.028 ,-0.141 ,0.879 ,0.501 ,0.499 ,21.500 ,237416.500 ,112.750 ,139.464 ,237668.714 
Delaware,2021,12268.000 ,0.027 ,0.029 ,0.818 ,0.504 ,0.496 ,21.500 ,228543.900 ,107.000 ,128.736 ,228779.636 
District of Col.,2018,15541.333 ,0.038 ,-0.035 ,0.644 ,0.500 ,0.500 ,27.500 ,6996663.260 ,6578191.000 ,407447.750 ,11024.510 
District of Col.,2019,15383.000 ,0.037 ,-0.010 ,0.663 ,0.500 ,0.500 ,29.000 ,5916081.610 ,5506580.400 ,400704.250 ,8796.960 
District of Col.,2020,13580.000 ,0.019 ,-0.117 ,0.858 ,0.500 ,0.500 ,33.000 ,5507280.800 ,360592.750 ,7869.584 ,5875743.134 
District of Col.,2021,14244.000 ,0.019 ,0.049 ,0.690 ,0.500 ,0.500 ,35.000 ,5652184.600 ,372275.500 ,8507.900 ,6032968.000 
Florida,2018,158652.000 ,0.016 ,0.456 ,0.883 ,0.507 ,0.493 ,17.500 ,132844375.701 ,114688704.290 ,7329197.590 ,10814921.075 
Florida,2019,166032.000 ,0.016 ,0.047 ,0.887 ,0.505 ,0.495 ,16.500 ,119796670.419 ,106584861.310 ,7409910.625 ,5801898.484 
Florida,2020,149624.000 ,0.018 ,-0.099 ,0.883 ,0.504 ,0.496 ,16.500 ,104921393.600 ,6460382.025 ,8508438.486 ,119890214.111 
Florida,2021,158467.000 ,0.017 ,0.059 ,0.898 ,0.504 ,0.496 ,10.000 ,102941345.600 ,6623975.825 ,7665719.518 ,117231040.943 
Georgia,2018,85304.333 ,0.017 ,-0.048 ,0.842 ,0.522 ,0.478 ,12.000 ,68901758.378 ,62656859.300 ,5578426.250 ,666472.828 
Georgia,2019,83806.000 ,0.016 ,-0.018 ,0.788 ,0.516 ,0.484 ,11.000 ,65637826.466 ,59343124.200 ,5770321.500 ,524380.766 
Georgia,2020,71111.000 ,0.017 ,-0.151 ,0.888 ,0.509 ,0.491 ,10.000 ,46781440.300 ,5899116.000 ,561857.544 ,53242413.844 
