,State,year,Share,Growth,Good Day Ratio,GREEN RATIO,SCORE,Total_emissions,Number_bill
0,Alabama,2018,0.02,-0.021,0.819,0.481,9.5,14230830.18,0
1,Alabama,2019,0.02,0.005,0.814,0.483,9.5,14324145.77,2
2,Alabama,2020,0.021,-0.099,0.86,0.485,9.0,13728015.7,13
3,Alabama,2021,0.021,0.052,0.858,0.482,5.0,13661204.7,2
4,Alaska,2018,0.016,-0.051,0.906,0.465,10.0,88045748.43,5
5,Alaska,2019,0.016,-0.027,0.889,0.46,10.5,81507736.66,15
6,Alaska,2020,0.016,-0.139,0.942,0.454,9.5,64029935.6,2
7,Alaska,2021,0.017,0.033,0.923,0.461,6.5,69480246.8,7
8,Arizona,2018,0.018,-0.021,0.661,0.472,22.0,47327666.92,8
9,Arizona,2019,0.017,0.001,0.707,0.482,21.5,42081922.13,14
10,Arizona,2020,0.02,-0.09,0.677,0.49,20.0,30454127.0,8
11,Arizona,2021,0.019,0.051,0.646,0.488,13.0,37378815.0,27
12,Arkansas,2018,0.015,-0.01,0.826,0.447,14.5,55830340.88,2
13,Arkansas,2019,0.015,0.012,0.837,0.459,14.0,51657482.91,0
14,Arkansas,2020,0.016,-0.077,0.894,0.467,13.5,40957922.4,1
15,Arkansas,2021,0.016,0.065,0.829,0.461,7.5,39679040.8,1
16,California,2018,0.027,0.704,0.579,0.5,43.5,95608816.06,17
17,California,2019,0.028,0.047,0.692,0.5,43.5,91599467.75,58
18,California,2020,0.03,-0.097,0.604,0.5,44.5,83245242.3,23
19,California,2021,0.029,0.041,0.606,0.5,47.0,85101370.6,60
20,Colorado,2018,0.02,-0.01,0.71,0.445,25.5,45242340.83,5
21,Colorado,2019,0.02,0.009,0.812,0.449,27.0,45004080.16,9
22,Colorado,2020,0.022,-0.068,0.797,0.462,30.5,37685131.3,4
23,Colorado,2021,0.022,0.052,0.749,0.449,30.5,39345752.0,9
24,Connecticut,2018,0.022,-0.012,0.834,0.497,38.0,10228586.91,1
25,Connecticut,2019,0.022,0.004,0.853,0.5,36.5,9516567.3,4
26,Connecticut,2020,0.026,-0.06,0.85,0.5,33.5,10602320.8,0
27,Connecticut,2021,0.025,0.05,0.834,0.499,32.5,11017549.5,2
28,Delaware,2018,0.03,-0.055,0.79,0.494,18.5,297473.828,1
29,Delaware,2019,0.029,-0.032,0.777,0.498,20.5,277495.192,9
30,Delaware,2020,0.028,-0.141,0.879,0.499,21.5,237416.5,10
31,Delaware,2021,0.027,0.029,0.818,0.496,21.5,228543.9,2
32,District of Col.,2018,0.038,-0.035,0.644,0.5,27.5,6996663.26,2
33,District of Col.,2019,0.037,-0.01,0.663,0.5,29.0,5916081.61,0
34,District of Col.,2020,0.019,-0.117,0.858,0.5,33.0,5507280.8,0
35,District of Col.,2021,0.019,0.049,0.69,0.5,35.0,5652184.6,2
36,Florida,2018,0.016,0.456,0.883,0.493,17.5,132844375.7,8
37,Florida,2019,0.016,0.047,0.887,0.495,16.5,119796670.4,15
38,Florida,2020,0.018,-0.099,0.883,0.496,16.5,104921393.6,4
39,Florida,2021,0.017,0.059,0.898,0.496,10.0,102941345.6,20
40,Georgia,2018,0.017,-0.048,0.842,0.478,12.0,68901758.38,0
41,Georgia,2019,0.016,-0.018,0.788,0.484,11.0,65637826.47,2
42,Georgia,2020,0.017,-0.151,0.888,0.491,10.0,46781440.3,0
43,Georgia,2021,0.016,0.058,0.821,0.488,6.5,50927467.3,7
44,Hawaii,2018,0.021,-0.036,0.882,0.0,23.0,8192002.508,1
45,Hawaii,2019,0.021,-0.017,0.984,0.0,25.5,8019629.806,0
46,Hawaii,2020,0.025,-0.099,0.992,0.0,28.0,6798273.0,1
47,Hawaii,2021,0.021,0.026,0.994,0.0,23.0,6673998.5,0
48,Idaho,2018,0.015,0.009,0.816,0.5,16.0,55525502.6,1
49,Idaho,2019,0.015,0.028,0.883,0.5,14.5,48735583.03,0
50,Idaho,2020,0.016,-0.048,0.835,0.5,14.5,37824334.8,0
51,Idaho,2021,0.017,0.068,0.781,0.5,9.5,45289747.6,0
52,Illinois,2018,0.019,0.467,0.764,0.399,27.5,4353618.916,14
53,Illinois,2019,0.02,0.017,0.773,0.427,29.0,5106993.471,25
54,Illinois,2020,0.021,-0.082,0.81,0.464,27.0,4325879.8,11
55,Illinois,2021,0.021,0.049,0.75,0.435,24.5,4627300.6,23
56,Indiana,2018,0.025,-0.004,0.823,0.418,10.5,105149421.2,2
57,Indiana,2019,0.026,0.019,0.84,0.44,10.5,95960256.51,2
58,Indiana,2020,0.027,-0.072,0.859,0.454,11.5,70434809.6,0
59,Indiana,2021,0.028,0.069,0.809,0.442,9.0,80062583.2,2
60,Iowa,2018,0.019,-0.025,0.77,0.375,17.0,143046655.4,0
61,Iowa,2019,0.018,-0.002,0.836,0.397,18.5,128458269.8,0
62,Iowa,2020,0.02,-0.097,0.856,0.424,12.5,106320609.5,0
63,Iowa,2021,0.02,0.05,0.783,0.389,8.0,115023086.6,3
64,Kansas,2018,0.017,-0.021,0.844,0.342,7.5,37078572.34,2
65,Kansas,2019,0.017,0.002,0.896,0.355,7.0,33957818.79,2
66,Kansas,2020,0.017,-0.094,0.867,0.345,7.0,30727445.2,0
